2016-03-12 23:15:19,640	classfying:text:Factory for Ajax armored vehicles inaugurated <img src="http://cdnph.upi.com/rss/i/14574614497726/Factory-for-Ajax-armored-vehicles-inaugurated_t.jpg" />Richard Tomkins<br />LONDON, March 8 (UPI) -- General Dynamics Land Systems-UK has inaugurated a new facility in Wales for the assembly of Ajax armored fighting vehicles for the British military.
2016-03-12 23:15:19,644	label:Business
2016-03-12 23:15:19,682	classfying:text:CAE expands C-130 training facility in Florida <img src="http://cdnph.upi.com/rss/i/14574576982738/CAE-expands-C-130-training-facility-in-Florida_t.jpg" />Richard Tomkins<br />TAMPA, Fla., March 8 (UPI) -- CAE USA has announced the expansion of its C-130 training center in Florida with the addition of a new C-130H/L-382 full-mission simulator.
2016-03-12 23:15:19,685	label:Technology
2016-03-12 23:15:19,723	classfying:text:Navy LPD John P. Murtha passes builder's trials <img src="http://cdnph.upi.com/rss/i/14574533995139/Navy-LPD-John-P-Murtha-passes-builders-trials_t.jpg" />Richard Tomkins<br />PASCAGOULA, Miss., March 8 (UPI) -- The U.S. Navy reports the John P. Murtha, its future amphibious transport dock, successfully completed builder's trials earlier this month.
2016-03-12 23:15:19,727	label:Politics
2016-03-12 23:15:19,765	classfying:text:Oil rallies beyond the $40 per barrel mark <img src="http://cdnph.upi.com/rss/upi/1bb985186750d3a401a079bc1d8f709f/Oil-rallies-beyond-the-40-per-barrel-mark_t.jpg" />Daniel J. Graeber<br />NEW YORK, March 8 (UPI) -- Signs of growth in the European Union and a downturn in the U.S. shale sector pushed crude oil prices higher Tuesday, with Brent holding above $40 per barrel.
2016-03-12 23:15:19,769	label:Business
2016-03-12 23:15:19,807	classfying:text:South Africa looks to shale gas future <img src="http://cdnph.upi.com/rss/i/14574430934302/South-Africa-looks-to-shale-gas-future_t.jpg" />Daniel J. Graeber<br />PRETORIA, South Africa, March 8 (UPI) -- The South African government said Tuesday it was expecting to reap the rewards of shale natural gas, with exploration slated as early as 2017.
2016-03-12 23:15:19,811	label:Business
2016-03-12 23:15:19,848	classfying:text:Oklahoma ramps up earthquake response plans <img src="http://cdnph.upi.com/rss/i/14574404137729/Oklahoma-ramps-up-earthquake-response-plans_t.jpg" />Daniel J. Graeber<br />OKLAHOMA CITY, March 8 (UPI) -- The Oklahoma state government announced it expanded plans to curb wastewater injection volumes to lower the risk of seismic activity in oil and gas basins.
2016-03-12 23:15:19,852	label:Business
2016-03-12 23:15:19,923	http://rss.upi.com/news/health_news.rss,2016-03-01 14:58:44
2016-03-12 23:15:20,655	classfying:text:'Good' cholesterol may not always be good for health <img src="http://cdnph.upi.com/rss/i/14577310719751/Good-cholesterol-may-not-always-be-good-for-health_t.jpg" />Stephen Feller<br />WASHINGTON, March 11 (UPI) -- Elevated levels of "good" cholesterol may not be good for everyone, according to a large study conducted in the United States and Europe.
2016-03-12 23:15:20,657	label:Business
2016-03-12 23:15:20,714	classfying:text:Xalkori approved for rare genetic form of lung cancer HealthDay News<br /> Xalkori has been approved by the U.S. Food and Drug Administration to treat advanced non-small cell lung cancer with tumors that have a rare gene mutation.
